radius,eps,eeps,theta,etheta,surfmag,emu,eml
1.39,0.142,0.009,338.2,3.8,17.726,0.015,0.015
1.53,0.167,0.007,342.4,2.7,17.798,0.013,0.013
1.68,0.192,0.005,343.3,1.6,17.871,0.01,0.01
1.85,0.208,0.005,343.8,1.8,17.955,0.015,0.015
2.04,0.239,0.005,344.7,1.6,18.037,0.016,0.016
2.24,0.274,0.005,345.7,1.4,18.116,0.016,0.016
2.46,0.298,0.006,345.0,1.5,18.209,0.02,0.02
2.71,0.33,0.005,344.7,1.3,18.291,0.019,0.019
2.98,0.359,0.005,344.5,1.3,18.375,0.024,0.023
3.28,0.387,0.004,344.6,1.1,18.462,0.025,0.024
3.61,0.412,0.004,344.9,1.0,18.557,0.025,0.025
3.97,0.438,0.004,345.2,1.0,18.654,0.027,0.026
4.36,0.461,0.004,345.5,0.9,18.756,0.027,0.027
4.8,0.481,0.003,345.5,0.8,18.863,0.026,0.025
5.28,0.499,0.003,345.4,0.7,18.974,0.028,0.027
5.81,0.507,0.003,345.2,0.8,19.119,0.034,0.033
6.39,0.516,0.003,344.8,0.9,19.267,0.04,0.038
7.03,0.525,0.003,344.2,0.9,19.417,0.041,0.039
7.73,0.537,0.003,344.2,0.8,19.562,0.04,0.038
8.5,0.551,0.003,344.5,0.8,19.698,0.041,0.039
9.36,0.563,0.003,344.8,0.8,19.846,0.046,0.044
10.29,0.571,0.002,345.2,0.8,20.015,0.043,0.041
11.32,0.57,0.002,345.6,0.8,20.207,0.042,0.041
12.45,0.561,0.002,345.2,0.9,20.413,0.047,0.045
13.7,0.577,0.004,345.0,1.4,20.538,0.078,0.073
15.07,0.591,0.004,344.7,1.5,20.662,0.087,0.081
16.57,0.592,0.003,345.6,1.2,20.854,0.087,0.08
18.23,0.592,0.004,346.0,1.7,21.07,0.114,0.103
20.05,0.585,0.003,345.7,1.2,21.323,0.12,0.108
22.06,0.585,0.005,345.7,2.2,21.671,0.176,0.151
24.27,0.623,0.004,345.7,1.8,21.749,0.19,0.162
26.69,0.618,0.004,345.5,1.9,22.11,0.243,0.199
29.36,0.618,0.007,344.0,3.3,22.468,0.377,0.279
32.3,0.597,0.007,346.9,3.8,22.9,0.57,0.372
35.53,0.592,0.009,345.8,5.3,23.289,0.872,0.477
39.08,0.567,0.024,344.3,15.2,23.916,3.9,0.738
42.99,0.567,0.229,344.3,151.3,24.312,0.0,0.934
