# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
    1    2.19        4.4     0.0396     0.202     0.143 0.3846    0.0294  -84.13    2.79  441.00   0.05  297.00   0.03   -0.455    0.263      0.578    1.21614   -1.61  0.00982  0.00974       51.523       59.645   -4.28   -4.44     11     13    0.0485  0.0317   -0.0161  0.0171  -0.00103  0.0118   -0.0271  0.0195    13     0     1     0     INDEF   2.0
    2    2.41        4.3     0.0417     0.213      0.15 0.3846    0.0243  -84.13    2.26  441.00   0.05  297.00   0.03   -0.499    0.243      0.487    1.24546   -1.58   0.0106   0.0105       51.523       92.258   -4.28   -4.91     11     21    0.0426  0.0234   -0.0137  0.0127   0.00184 0.00621   -0.0281   0.015    13     0     1     0     INDEF   2.0
    3    2.65       4.18      0.041     0.217     0.153 0.3846    0.0218  -84.13    2.11  441.00   0.05  297.00   0.03   -0.487    0.212      0.436    1.27549   -1.55   0.0107   0.0106       59.961       92.258   -4.44   -4.91     13     21    0.0385  0.0204   -0.0093  0.0119  -0.00346  0.0087   -0.0252  0.0136    14     0     1     0     INDEF   2.0
    4    2.91       4.05     0.0384     0.211     0.149 0.3846    0.0192  -84.13    1.89  441.00   0.04  297.00   0.03   -0.458    0.189      0.412    1.30625   -1.52   0.0104   0.0103       68.203       107.02   -4.58   -5.07     15     25    0.0284  0.0163   -0.0178  0.0131  -0.00871 0.00977   -0.0208  0.0123    15     0     1     0     INDEF   2.0
    5    3.20       3.92     0.0393     0.222     0.157 0.3846    0.0185  -84.13    1.79  441.00   0.05  297.00   0.03   -0.442    0.174      0.394    1.33775   -1.48   0.0109   0.0108       75.977       149.42    -4.7   -5.44     17     37    0.0183  0.0145    -0.017  0.0139   -0.0129  0.0103   -0.0283  0.0141    16     0     1     0     INDEF   2.0
    6    3.52       3.78     0.0396     0.231     0.163 0.3846    0.0187  -84.13    1.76  441.00   0.05  297.00   0.04   -0.477     0.15      0.314    1.37001   -1.44   0.0114   0.0113        107.5       149.42   -5.08   -5.44     25     37    0.0126   0.013    -0.023  0.0143  -0.00912  0.0109   -0.0227  0.0127    17     0     1     0     INDEF   2.0
    7    3.88       3.61     0.0347     0.214     0.151 0.3846    0.0144  -84.13    1.37  441.00   0.04  297.00   0.03   -0.453    0.124      0.273    1.40304   -1.39   0.0105   0.0104       122.59       175.65   -5.22   -5.61     29     45   0.00737  0.0103   -0.0172   0.011  -0.00796 0.00726    -0.028  0.0103    19     0     1     0     INDEF   2.0
    8    4.26       3.43     0.0329     0.213     0.151 0.3846    0.0137  -84.13    1.31  441.00   0.05  297.00   0.03    -0.42    0.102      0.242    1.43688   -1.34   0.0105   0.0104       149.86       223.48   -5.44   -5.87     37     61   0.00236  0.0101   -0.0157  0.0106  -0.00294 0.00843   -0.0227 0.00991    21     0     1     0     INDEF   2.0
    9    4.69       3.25     0.0282     0.191     0.135 0.3846    0.0116  -84.13    1.10  441.00   0.04  297.00   0.03   -0.378    0.082      0.217    1.47152   -1.28  0.00945  0.00936       162.74        246.3   -5.53   -5.98     41     69   0.00501  0.0089  -0.00914 0.00892   0.00468  0.0067   -0.0253 0.00854    23     0     1     0     INDEF   2.0
   10    5.16       3.08     0.0261     0.185     0.131 0.3846    0.0102  -84.13    0.96  441.00   0.04  297.00   0.03   -0.353   0.0703      0.199    1.50701   -1.22  0.00927  0.00919       207.05       299.05   -5.79   -6.19     55     89   0.00451 0.00781  -0.00682 0.00786   0.00506 0.00599    -0.023 0.00747    25     0     1     0     INDEF   2.0
   11    5.67       2.89     0.0252     0.188     0.133 0.3846    0.0092  -84.13    0.88  441.00   0.04  297.00   0.03    -0.32   0.0618      0.193    1.54335   -1.15  0.00948   0.0094       230.64       328.91   -5.91   -6.29     63    101   0.00384 0.00716  -0.00873 0.00717   0.00272 0.00573   -0.0206 0.00687    28     0     1     0     INDEF   2.0
   12    6.24       2.71     0.0244     0.192     0.136 0.3846    0.0112  -84.13    1.08  441.00   0.05  297.00   0.04   -0.269   0.0518      0.192    1.58056   -1.08  0.00982  0.00973       257.75       375.36   -6.03   -6.44     73    121   0.00308 0.00889  -0.00924 0.00882  -0.00263   0.007    -0.028 0.00869    31     0     1     0     INDEF   2.0
   13    6.86       2.54     0.0212     0.174     0.123 0.3846    0.0107  -84.13    1.03  441.00   0.06  297.00   0.04   -0.229   0.0412       0.18    1.61868   -1.01  0.00907  0.00899        310.9        428.6   -6.23   -6.58     93    145  -2.71E-4 0.00868  -5.94E-4 0.00848  -0.00741 0.00736   -0.0249  0.0084    34     0     1     0     INDEF   2.0
   14    7.55       2.39     0.0188     0.162     0.114 0.3846    0.0102  -84.13    0.97  441.00   0.06  297.00   0.04   -0.202   0.0331      0.164    1.65771  -0.944  0.00859  0.00852       358.72       494.16   -6.39   -6.73    113    177  -0.00313 0.00798    0.0104 0.00804  -0.00247 0.00745   -0.0159 0.00781    37     0     1     0     INDEF   2.0
   15    8.31       2.23     0.0165     0.147     0.104 0.3846    0.0104  -84.13    0.97  441.00   0.07  297.00   0.05   -0.177   0.0268      0.151    1.69768  -0.873  0.00804  0.00798       408.94       575.99   -6.53    -6.9    135    221  -0.00628 0.00806   0.00976 0.00817  -0.00454 0.00765    -0.014 0.00796    40     0     1     0     INDEF   2.0
   16    9.14       2.09     0.0149      0.14    0.0991 0.3846    0.0083  -84.13    0.77  441.00   0.06  297.00   0.04   -0.158   0.0219      0.139    1.73862  -0.799   0.0078  0.00775       472.45       644.84   -6.69   -7.02    165    261  -0.00339 0.00619    0.0145 0.00652  -0.00782 0.00579   -0.0132 0.00602    44     0     1     0     INDEF   2.0
   17   10.05       1.94     0.0133     0.132    0.0932 0.3846    0.0081  -84.13    0.76  441.00   0.06  297.00   0.04   -0.138   0.0165      0.119    1.78054  -0.721  0.00747  0.00742       536.33       747.65   -6.82   -7.18    197    325   0.00423 0.00576    0.0205 0.00619    -0.006 0.00549   -0.0103 0.00556    49     0     1     0     INDEF   2.0
   18   11.06        1.8    0.00984     0.102    0.0723 0.3846    0.0065  -84.13    0.62  441.00   0.06  297.00   0.04    -0.12   0.0116      0.097    1.82348   -0.64  0.00594  0.00591       607.05       837.88   -6.96   -7.31    235    385  -0.00285 0.00489    0.0141 0.00502   4.42E-4 0.00484   0.00382 0.00482    54     0     1     0     INDEF   2.0
